"Organisation Name","Project Name","Pipeline Name","Pipeline Execution ID","Issue ID","Issue Title","Severity","Severity Score","No. of Occurrences","Target Type","Target Name","Variant","Status","Exemption Status","Scanner Name","Exemption Requestor Email","Exemption Approver Email","Only in Current Scan"
"default","Python","ai-code-scanning-workflow","g3dnWPLqQNeM8vRS-2sOjQ","bWr1JaVirhmlTDFeWU2PCK","Basic Auth Credentials","High","7.9","1","repository","n8life/fastapi-postgres-project","refs/pull/10/head","NONE","","checkov","","","no"
"default","Python","ai-code-scanning-workflow","g3dnWPLqQNeM8vRS-2sOjQ","i4bTC2uKS5CoqX3A84Bbax","Containers should run as a high UID to avoid host conflict","High","7.9","1","repository","n8life/fastapi-postgres-project","refs/pull/10/head","NONE","","checkov","","","no"
"default","Python","ai-code-scanning-workflow","g3dnWPLqQNeM8vRS-2sOjQ","Z5Lps2e27nc3r-TvOgHz0o","Use read-only filesystem for containers where possible","High","7.9","1","repository","n8life/fastapi-postgres-project","refs/pull/10/head","NONE","","checkov","","","no"
