"Organisation Name","Project Name","Pipeline Name","Pipeline Execution ID","Issue ID","Issue Title","Severity","Severity Score","No. of Occurrences","Target Type","Target Name","Variant","Status","Exemption Status","Scanner Name","Exemption Requestor Email","Exemption Approver Email","Only in Current Scan"
"default","Python","ai-code-scanning-workflow","ou1cVfJZQeyYiQCwjaN2ow","X1PA4pgfxVGjfq2UXfJFpJ","Ensure that API keys are not sent over cleartext","High","7.9","1","repository","n8life/fastapi-postgres-project","feature-8-add-openapi","NONE","","checkov","","","yes"
"default","Python","ai-code-scanning-workflow","ou1cVfJZQeyYiQCwjaN2ow","icWaimjBOrPzl1cFrB51Nu","Ensure that arrays have a maximum number of items","High","7.9","1","repository","n8life/fastapi-postgres-project","feature-8-add-openapi","NONE","","checkov","","","yes"
